Owner (Country),Port Name,Hosting Country
China,Hambantota International Port,Sri Lanka
China,Port of Piraeus,Greece
China,Chancay Multipurpose Port,Peru
China,Gwadar Port,Pakistan
China,Doraleh / Multipurpose Port,Djibouti
China,Autonomous Port of Kribi,Cameroon
China,Port of Newcastle,Australia
China,Port of Melbourne,Australia
China,Haifa Port (Bayport Terminal),Israel
China,Zeebrugge Container Terminal,Belgium
China,Valencia Terminals,Spain
China,Bilbao Terminals,Spain
China,Vado Ligure,Italy
China,Hamburg Tollerort Terminal,Germany
China,Antwerp Terminals (stakes),Belgium
China,Rotterdam Terminals (stakes),Netherlands
China,Hambantota International Port,Sri Lanka
China,Port of Piraeus,Greece
China,Chancay Multipurpose Port,Peru
China,Gwadar Port,Pakistan
China,Doraleh / Multipurpose Port,Djibouti
China,Autonomous Port of Kribi,Cameroon
China,Port of Newcastle,Australia
China,Port of Melbourne,Australia
China,Haifa Port (Bayport Terminal),Israel
China,Zeebrugge Container Terminal,Belgium
China,Valencia Terminals,Spain
China,Bilbao Terminals,Spain
China,Vado Ligure,Italy
China,Hamburg Tollerort Terminal,Germany
China,Antwerp Terminals (stakes),Belgium
China,Rotterdam Terminals (stakes),Netherlands
United Arab Emirates,DP World Southampton,United Kingdom
United Arab Emirates,Jeddah Islamic Port,Saudi Arabia
United Arab Emirates,Ain Sokhna Port,Egypt
United Arab Emirates,Doraleh Container Terminal,Djibouti
United Arab Emirates,Port of Dakar,Senegal
United Arab Emirates,Maputo,Mozambique
United Arab Emirates,Constanța,Romania
United Arab Emirates,Limassol,Cyprus
United Arab Emirates,Tarragona,Spain
United Arab Emirates,Vancouver terminals,Canada
United Arab Emirates,Prince Rupert,Canada
United Arab Emirates,Paramaribo,Suriname
United Arab Emirates,Buenos Aires (Terminales Rio de la Plata),Argentina
United Arab Emirates,Santos (Embraport),Brazil
United Arab Emirates,Laem Chabang International Terminal,Thailand
United Arab Emirates,Saigon Premier Container Terminal,Vietnam
United Arab Emirates,Terminal Petikemas Surabaya,Indonesia
United Arab Emirates,Pusan Newport,South Korea
United Arab Emirates,Qingdao Qianwan terminals,China
United Arab Emirates,DP World Karachi (Port Qasim),Pakistan
United Arab Emirates,Batangas International Port,Philippines
United Arab Emirates,Manila South Harbor,Philippines
Singapore,Antwerp - Europa Terminal,Belgium
Singapore,Antwerp - Noordzee Terminal,Belgium
Singapore,Antwerp - MSC PSA European Terminal,Belgium
Singapore,Genoa - PSA Genova Pra Terminal,Italy
Singapore,Genoa - Southern European Container Hub,Italy
Singapore,Venice Container Terminal,Italy
Singapore,Gdańsk - Baltic Hub,Poland
Singapore,Sines Container Terminal,Portugal
Singapore,Dalian Container Terminal,China
Singapore,Fuzhou Container Terminals,China
Singapore,Guangzhou Container Terminal,China
Singapore,Lianyungang (LYD-PSA),China
Singapore,Tianjin Port terminals,China
Singapore,Qinzhou / Beibu Gulf,China
Singapore,Chennai International Terminals,India
Singapore,Mumbai - Bharat Mumbai Container Terminals,India
Singapore,New Priok Container Terminal One,Indonesia
Singapore,Hibiki Container Terminal (Kitakyushu),Japan
Singapore,Busan - Pusan Newport International Terminal,South Korea
Singapore,Incheon Container Terminal,South Korea
Singapore,Laem Chabang - Eastern Sea Terminal,Thailand
Singapore,Bangkok - Thai Connectivity Terminal,Thailand
Singapore,Vũng Tàu - SP-PSA International Port,Vietnam
Singapore,Dammam - King Abdulaziz Port,Saudi Arabia
Singapore,Mersin International Port,Türkiye
Singapore,Buenos Aires - Exolgan Container Terminal,Argentina
Singapore,Halifax - PSA Halifax Atlantic Hub,Canada
Singapore,Halifax - Fairview Cove,Canada
Singapore,Buenaventura - SPIA Terminal,Colombia
Singapore,PSA Panama International Terminal,Panama
Singapore,PSA Penn Terminals (Eddystone),United States
Hong Kong,Felixstowe,United Kingdom
Hong Kong,Harwich International Port,United Kingdom
Hong Kong,London Thamesport,United Kingdom
Hong Kong,Barcelona Europe South Terminal (BEST),Spain
Hong Kong,Amsterdam Container Terminal,Netherlands
Hong Kong,Rotterdam - ECT Delta / Euromax,Netherlands
Hong Kong,Moerdijk Container Terminals,Netherlands
Hong Kong,Gdynia Container Terminal,Poland
Hong Kong,Stockholm,Sweden
Hong Kong,Duisburg Container Terminal,Germany
Hong Kong,Antwerp - TMA Antwerp,Belgium
Hong Kong,Taranto Container Terminal,Italy
Hong Kong,Freeport Container Port,Bahamas
Hong Kong,Lázaro Cárdenas Terminal,Mexico
Hong Kong,Manzanillo Terminal,Mexico
Hong Kong,Veracruz (ICAVE),Mexico
Hong Kong,Balboa & Cristobal (Panama Canal),Panama
Hong Kong,Brisbane (Berths 11 & 12),Australia
Hong Kong,Sydney - Port Botany Terminal 3,Australia
Hong Kong,Jakarta International Container Terminal,Indonesia
Hong Kong,Laem Chabang,Thailand
Hong Kong,Busan terminals,South Korea
Hong Kong,Gwangyang terminals,South Korea
Hong Kong,Karachi International Container Terminal,Pakistan
Hong Kong,Alexandria International Container Terminal,Egypt
Hong Kong,Sohar Port Container Terminal,Oman
Hong Kong,Jazan,Saudi Arabia
Hong Kong,Ajman International Terminals,United Arab Emirates
Hong Kong,Yantian International Container Terminals,China
Denmark / Netherlands,Algeciras,Spain
Denmark / Netherlands,Barcelona,Spain
Denmark / Netherlands,Valencia,Spain
Denmark / Netherlands,Gijón,Spain
Denmark / Netherlands,Gothenburg,Sweden
Denmark / Netherlands,Vado Ligure,Italy
Denmark / Netherlands,Rijeka Gateway,Croatia
Denmark / Netherlands,Poti Sea Port,Georgia
Denmark / Netherlands,Los Angeles - Pier 400,United States
Denmark / Netherlands,Port Elizabeth (New York/New Jersey),United States
Denmark / Netherlands,Mobile,United States
Denmark / Netherlands,Miami (South Florida Container Terminal),United States
Denmark / Netherlands,Lázaro Cárdenas,Mexico
Denmark / Netherlands,Yucatán (Progreso),Mexico
Denmark / Netherlands,Moín Container Terminal,Costa Rica
Denmark / Netherlands,Puerto Quetzal,Guatemala
Denmark / Netherlands,Callao,Peru
Denmark / Netherlands,Buenos Aires,Argentina
Denmark / Netherlands,Santos (Brasil Terminal Portuário),Brazil
Denmark / Netherlands,Pecém,Brazil
Denmark / Netherlands,Suape,Brazil
Denmark / Netherlands,Tanger Med (MedPort Tangier),Morocco
Denmark / Netherlands,Abidjan terminals,Côte d'Ivoire
Denmark / Netherlands,San-Pédro,Côte d'Ivoire
Denmark / Netherlands,Monrovia,Liberia
Denmark / Netherlands,Tema,Ghana
Denmark / Netherlands,Apapa,Nigeria
Denmark / Netherlands,Suez Canal Container Terminal (East Port Said),Egypt
Denmark / Netherlands,Aqaba Container Terminal,Jordan
Denmark / Netherlands,Khalifa Bin Salman Port,Bahrain
Denmark / Netherlands,Salalah,Oman
Denmark / Netherlands,Mumbai (Jawaharlal Nehru Port),India
Denmark / Netherlands,Pipavav,India
Denmark / Netherlands,Tanjung Pelepas,Malaysia
Denmark / Netherlands,Laem Chabang,Thailand
Denmark / Netherlands,Cai Mep,Vietnam
Denmark / Netherlands,Yokohama,Japan
Denmark / Netherlands,Colombo (South Asia Gateway Terminals),Sri Lanka
Denmark / Netherlands,Qingdao terminals,China
Philippines,Victoria International Container Terminal (VICT),Australia
Philippines,Yantai International Container Terminals,China
Philippines,Tanjung Priok (OJA),Indonesia
Philippines,East Java Multipurpose Terminal,Indonesia
Philippines,Batu Ampar Container Terminal (Batam),Indonesia
Philippines,South Pacific International Container Terminal (Lae),Papua New Guinea
Philippines,Motukea International Terminal,Papua New Guinea
Philippines,Contecon Manzanillo,Mexico
Philippines,Operadora Portuaria Centroamericana (Puerto Cortés),Honduras
Philippines,Contecon Guayaquil,Ecuador
Philippines,Puerto Aguadulce (Buenaventura),Colombia
Philippines,TecPlata (La Plata),Argentina
Philippines,Tecon Suape,Brazil
Philippines,ICTSI Rio Brasil,Brazil
Philippines,Adriatic Gate Container Terminal (Rijeka),Croatia
Philippines,Baltic Container Terminal (Gdynia),Poland
Philippines,Batumi International Container Terminal,Georgia
Philippines,Basra Gateway Terminal (Umm Qasr),Iraq
Philippines,Kribi Multipurpose Terminal,Cameroon
Philippines,Madagascar International Container Terminal (Toamasina),Madagascar
Philippines,Matadi Gateway Terminal,Democratic Republic of the Congo
Philippines,Onne Multipurpose Terminal,Nigeria
Philippines,Durban Gateway Terminal,South Africa
France,Antwerp Gateway,Belgium
France,Kingston Freeport Terminal,Jamaica
France,Malta Freeport Terminal,Malta
France,Rotterdam World Gateway,Netherlands
France,CMA CGM-PSA Lion Terminal,Singapore
France,Laem Chabang International Terminal,Thailand
France,Qingdao Qianwan United Container Terminal,China
France,Odessa Terminal,Ukraine
France,Umm Qasr Terminal,Iraq
France,Houston Terminal Link,United States
France,Miami (South Florida Container Terminal),United States
France,Thessaloniki Port Terminal,Greece
France,Tanger Med (Eurogate Tanger),Morocco
France,Casablanca (Soma port),Morocco
France,Abidjan (Terra Abidjan),Ivory Coast
France,Busan New Container Terminal,South Korea
France,Vũng Tàu / Vietnam International Container Terminal,Vietnam
France,Kribi Conteneurs Terminal,Cameroon
France,Lekki Freeport Terminal,Nigeria
France,Khalifa Port,United Arab Emirates
France,Santos Brasil (stake),Brazil
France,Long Beach / Port Liberty / New Jersey terminals,United States
Switzerland / Italy,Antwerp - MSC PSA European Terminal (MPET),Belgium
Switzerland / Italy,Long Beach - Total Terminals International (TTI),United States
Switzerland / Italy,Navegantes - Portonave,Brazil
Switzerland / Italy,Lomé Container Terminal,Togo
Switzerland / Italy,King Abdullah Port - National Container Terminals,Saudi Arabia
Switzerland / Italy,Le Havre - Terminaux de Normandie,France
Switzerland / Italy,Valencia - MSC Terminal Valencia,Spain
Switzerland / Italy,Singapore - MSC PSA Asia Terminal (MPAT),Singapore
Switzerland / Italy,Los Angeles terminals,United States
Switzerland / Italy,New York / New Jersey terminals,United States
Switzerland / Italy,Rotterdam terminals (stakes),Netherlands
Switzerland / Italy,Ningbo terminals (stakes),China
Switzerland / Italy,Busan terminals (stakes),South Korea
Taiwan,Colón Container Terminal (CCT),Panama
Taiwan,Everport Terminal Services (Los Angeles),United States
Taiwan,Everport terminals (Oakland / Tacoma),United States
Taiwan,West Basin Container Terminal (stake - Yang Ming),United States
South Korea,Washington United Terminals (WUT) - Tacoma,United States
South Korea,California United Terminals,United States
South Korea,Long Beach terminal interests,United States
South Korea,Singapore terminal interests,Singapore
South Korea,Algeciras terminal interests,Spain
India,Chabahar Port (Shahid Beheshti Terminal),Iran
India,Haifa Port,Israel
India,Duqm Port,Oman
India,Mongla Port,Bangladesh
India,Chittagong Port,Bangladesh
India,Sittwe Port,Myanmar
India,Sabang Port,Indonesia
India,Trincomalee Port,Sri Lanka
India,Kankesanthurai Port,Sri Lanka
India,Colombo Port (West Container Terminal),Sri Lanka
Japan,Patimban Port,Indonesia
Japan,Lach Huyen International Port,Viet Nam
Japan,Cai Mep - Thi Vai International Port,Viet Nam
Japan,Mombasa Port (Special Economic Zone Port),Kenya
Japan,Autonomous Port of Abidjan (Cereal Berth),Cote D'Ivoire
Japan,Umm Qasr Port (Port Sector Rehabilitation),Iraq
Japan,Galle Port,Sri Lanka
